huc12,HUC12_Name
020403030501,Calfpen Bay-Chincoteague Bay
020403030502,Swans Gut Creek-Chincoteague Bay
020403030503,Assateague Channel
020403030504,Chincoteague Inlet-Chincoteague Bay
020403030603,Assateague Island-Atlantic Ocean
020403040101,Assawoman Inlet
020403040102,Gargathy Inlet
020403040103,Metompkin Inlet
020403040104,Wachapreague Inlet
020403040201,Quinby Inlet
020403040202,Machipongo River
020403040203,Great Machipongo Inlet
020403040301,Mockhorn Bay-The Thorofare
020403040304,Smith Island Inlet-The Thorofare
020403040401,Metompkin Island-Atlantic Ocean
020403040501,Rudee Inlet-Atlantic Ocean
020700010101,Laurel Fork-North Fork South Branch Potomac River
020700010301,Frank Run-South Branch Potomac River
020700010302,Strait Creek
020700010303,East Dry Run-South Branch Potomac River
020700010304,Whitehorn Creek-Thorn Creek
020700010501,Brushy Fork-South Fork South Branch Potomac River
020700010502,Little Fork-South Fork South Branch Potomac River
020700010503,Miller Run-South Fork South Branch Potomac River
020700010504,Hawes Run-South Fork South Branch Potomac River
020700010505,Rough Run-South Fork South Branch Potomac River
020700010506,Kettle Creek-South Fork South Branch Potomac River
020700010507,Rohrbaugh Run-South Fork South Branch Potomac River
020700030501,Cullers Run-Lost River
020700030502,Upper Cove Run-Lost River
020700030701,Trout Run
020700030702,Waites Run-Cacapon River
020700030703,Capon Springs Run-Cacapon River
020700030705,Mill Branch-Cacapon River
020700030706,Bloomery Run-Cacapon River
020700030707,Critton Run-Cacapon River
020700040201,Upper Sleepy Creek
020700040202,Middle Fork Sleepy Creek
020700040401,Mine Spring Run-Back Creek
020700040402,Isaacs Creek-Back Creek
020700040403,Hogue Creek
020700040404,Brush Creek-Back Creek
020700040405,Babbs Run
020700040406,Warm Springs Hollow-Back Creek
020700040901,Sulphur Spring Run-Opequon Creek
020700040902,Abrams Creek
020700040903,Redbud Run-Opequon Creek
020700040904,Turkey Run-Opequon Creek
020700040905,Mill Creek
020700050101,Edison Creek-Middle River
020700050102,Buffalo Branch-Middle River
020700050103,Jennings Branch
020700050104,Bell Creek-Middle River
020700050105,Moffett Creek
020700050201,Folly Mills Creek-Christians Creek
020700050202,Meadow Run
020700050203,Barterbrook Branch-Christians Creek
020700050301,Lewis Creek
020700050302,Falling Spring Run-Middle River
020700050303,Broad Run-Middle River
020700050401,Skidmore Fork-North River
020700050402,Little River
020700050403,Briery Branch
020700050404,Mossy Creek
020700050405,Thorny Branch-North River
020700050501,Skidmore Fork-Dry River
020700050502,Black Run-Dry River
020700050503,Muddy Creek
020700050504,Honey Run-Dry River
020700050601,Long Glade Creek
020700050602,Blacks Run
020700050603,Cooks Creek
020700050604,North Fork Naked Creek-Naked Creek
020700050605,Pleasant Run-North River
020700050606,Mill Creek-North River
020700050701,Stony Run-South River
020700050702,Canada Run-South River
020700050703,Inch Branch-Back Creek
020700050704,Porterfield Run-South River
020700050705,Paine Run-South River
020700050801,Big Run-South Fork Shenandoah River
020700050802,Keezletown-Cub Run
020700050803,Hawksbill Creek-South Fork Shenandoah River
020700050804,Boone Run-Elk Run-South Fork Shenandoah River
020700050805,South Branch-Naked Creek
020700050901,Fultz Run-South Fork Shenandoah River
020700050902,Pitt Spring Run-Cub Run
