Name,Alias,Description,Type
huc12,HUC12,12-digit code for the HUC12 watershed,Text
huc12name,Watershed,"Name of HUC 12 watershed. If there's no name, defaults to the 12-digit code.",Text
restoregoal_ha,Restoration Goal (ha),Additional habitat hectares to restore so that there's enough food (i.e. energy) to support long-term average NAWMP population objectives.,Double
restoregoal_80th_ha,80th Percentile of Restoration Goal (ha),Additional habitat hectares to restore so that there's enough food (i.e. energy) to support long-term average NAWMP population objectives.,Double
protectgoal_ha,Protection Goal (ha),Habitat hectares to protect so that the long-term average NAWMP population goal energy requirements are protected. ,Double
protectgoal_80th_ha,80th Percentile of Protection Goal (ha),The 80th percentile of habitat hectares to protect so that �,Double
available_ha,Available Habitat Hectares,"Total amount of available habitat hectares, excluding built or impervious area, and existing habitat.",Double
protected_ha,Protected Hectares,Total acres protected as easements or preserves in the watershed.,Double
protectedhabitat_ha,Protected Habitat Hectares,Total acres of dabbling duck habitat protected in the watershed.,Double
huc12_ha,Watershed Hectares,Total hectares in the watershed.,Double
urban_ha,Urban Hectares,Total urban hectares in the watershed.,Double
tothabitat_ha,Total Habitat Hectares,Total habitat hectares in the watershed.,Double
tothabitat_kcal,Total Habitat Energy (kcal),Total energy (kcal) in all habitat types within the watershed.(Energy Supply / Availability),Double
protected_kcal,Protected Habitat Energy,Total kilocalories of energy protected by fee and easements as of December 2020? ,Double
lta_demand_kcal,Long-Term Average Energy Demand (kcal),Average daily energy demand from dabbling ducks in the watershed.,Double
lta_demand_kcal,Long-Term Average Energy Demand (kcal),Average daily energy demand from dabbling ducks in the watershed.,Double
demand_80th_kcal,80th Percentile Energy Demand (kcal),The 80th percentile of the long-term average daily energy demand from dabbline ducks in the watershed.,Double
demand_80th_kcal,80th Percentile Energy Demand (kcal),The 80th percentile of the long-term average daily energy demand from dabbline ducks in the watershed.,Double
surpdef_kcal,Long-Term Average Energy Surplus or Deficit (kcal),Difference between Long Term Average Energy Demand and Protected Habitat Energy,Double
surpdef_80th_kcal,80th Percentile Energy Surplus or Deficit (kcal),The 80th Percentile Surplus or Deficit,Double
lta_nrgprotrq_kcal,Long-Term Average Energy Protection Needed (kcal),Total energy demand minus total protected energy in the watershed.,Double
nrgprotrq_80th_kcal,80th Percentile Energy Protection Needed (kcal),The 80th Percentile of total energy demand minus total protected energy.,Double
wtMean_kcal_per_ha,Weighted mean kcal/ha,Weighted average kcal/ha for all habitats in the watershed,Double
lta_popobj,Long-Term Average Population Objective,"Average daily number of dabbling ducks that should be supported in the watershed, based on NAWMP Population goals stepped down from county to HUC12 watershed.",Double
lta_popobj,Long-Term Average Population Objective,"Average daily number of dabbling ducks that should be supported in the watershed, based on NAWMP Population goals stepped down from county to HUC12 watershed.",Double
popobj_80th,80th Percentile Population Objective,"The 80th percentile of average daily number of dabbling ducks that should be supported in the watershed, based on NAWMP Population goals stepped down from county to HUC12 watershed.",Double
